iso_code,continent,location,date,population,new_cases,new_deaths,total_cases,total_deaths,new_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_million,new_deaths_per_million,new_vaccinations_per_million,new_cases_ra7,new_deaths_ra7,new_vaccinations_ra7,new_cases_per_million_ra7,new_deaths_per_million_ra7,new_vaccinations_per_million_ra7
ITA,Europe,Italy,2021-06-22,59037472.0,484.0,21.0,4253460.0,127291.0,572593.0,32376557.0,16530773.0,,8.198183011630308,0.3557062876947034,9698.80620904635,1097.2857142857142,36.142857142857146,557946.5714285715,18.5862584747144,0.6122019781412243,9450.71922165928
ITA,Europe,Italy,2021-06-23,59037472.0,834.0,31.0,4254294.0,127322.0,569389.0,32657849.0,16824548.0,,14.126621139875366,0.5250902342159908,9644.535592580927,1037.428571428571,31.571428571428573,559443.0,17.57237456625127,0.53476931687435,9476.066319370855
ITA,Europe,Italy,2021-06-24,59037472.0,1140.0,12.0,4255434.0,127334.0,612985.0,32953862.0,17147018.0,,19.30976990342676,0.2032607358255448,10382.981845835133,1000.2857142857144,25.857142857142858,560473.2857142857,16.943234193457915,0.4379784902907572,9493.51770540388
ITA,Europe,Italy,2021-06-25,59037472.0,266.0,28.0,4255700.0,127362.0,618450.0,33238667.0,17485736.0,,4.505612977466244,0.4742750502596046,10475.550172609015,849.2857142857143,24.571428571428573,561606.5714285715,14.385536600986477,0.4162005543094489,9512.713746086069
ITA,Europe,Italy,2021-06-26,59037472.0,751.0,56.0,4256451.0,127418.0,555892.0,33507091.0,17776804.0,,12.72073438374868,0.9485501005192092,9415.918079961148,792.7142857142857,27.571428571428573,561034.0,13.427307417808906,0.4670157382658351,9503.015305262394
ITA,Europe,Italy,2021-06-27,59037472.0,838.0,40.0,4257289.0,127458.0,432100.0,33721234.0,17998046.0,,14.19437471848388,0.6775357860851494,7319.080329184827,742.0,29.285714285714285,560134.7142857143,12.568288831879524,0.496052986240913,9487.782848928802
ITA,Europe,Italy,2021-06-28,59037472.0,780.0,14.0,4258069.0,127472.0,560457.0,33988537.0,18295236.0,,13.211947828660414,0.2371375251298023,9493.241851548117,727.5714285714286,28.857142857142858,560266.5714285715,12.32389199475595,0.4887936742471435,9490.016297252218
ITA,Europe,Italy,2021-06-29,59037472.0,387.0,28.0,4258456.0,127500.0,564431.0,34236465.0,18615440.0,,6.555158730373821,0.4742750502596046,9560.555031895674,713.7142857142857,29.857142857142858,559100.5714285715,12.089174240290737,0.5057320688992722,9470.266129087831
ITA,Europe,Italy,2021-06-30,59037472.0,677.0,42.0,4259133.0,127542.0,574586.0,34483829.0,18947472.0,,11.467293179491154,0.7114125753894069,9732.56442958804,691.2857142857143,31.428571428571427,559843.0,11.709270245950137,0.5323495462097603,9482.841677231709
ITA,Europe,Italy,2021-07-01,59037472.0,776.0,24.0,4259909.0,127566.0,570082.0,34706544.0,19299927.0,,13.1441942500519,0.4065214716510896,9656.273900074852,639.2857142857143,33.142857142857146,553714.0,10.828473724039442,0.5613867941848382,9379.02625640881
ITA,Europe,Italy,2021-07-02,59037472.0,879.0,21.0,4260788.0,127587.0,556603.0,34908437.0,19658842.0,,14.88884889922116,0.3557062876947034,9427.96127855881,726.8571428571429,32.142857142857146,544878.7142857143,12.311793141433002,0.5444483995327093,9229.370700115924
ITA,Europe,Italy,2021-07-03,59037472.0,794.0,28.0,4261582.0,127615.0,528026.0,35075786.0,20022297.0,,13.449085353790217,0.4742750502596046,8943.912774584927,733.0,28.142857142857142,540897.8571428572,12.415843280010364,0.4766948209241944,9161.941370776463
ITA,Europe,Italy,2021-07-04,59037472.0,929.0,22.0,4262511.0,127637.0,415047.0,35216581.0,20299103.0,,15.735768631827597,0.3726446823468322,7030.229885182075,746.0,25.571428571428573,538461.7142857143,12.636042410488036,0.4331389489615777,9120.677021633212
ITA,Europe,Italy,2021-07-05,59037472.0,806.0,12.0,4263317.0,127649.0,541743.0,35387169.0,20674490.0,,13.652346089615762,0.2032607358255448,9176.256734028178,749.7142857142857,25.285714285714285,535788.2857142857,12.698956447767372,0.428299407632398,9075.39343341608
ITA,Europe,Italy,2021-07-06,59037472.0,480.0,31.0,4263797.0,127680.0,539396.0,35552726.0,21052395.0,,8.130429433021794,0.5250902342159908,9136.502321779632,763.0,25.714285714285715,532211.8571428572,12.923995119574226,0.4355587196261675,9014.814474828074
ITA,Europe,Italy,2021-07-07,59037472.0,907.0,24.0,4264704.0,127704.0,549402.0,35700966.0,21456845.0,,15.363123949480764,0.4065214716510896,9305.98789866883,795.8571428571429,23.142857142857142,528614.1428571428,13.480542372429884,0.3920028476635507,8953.874970411043
ITA,Europe,Italy,2021-07-08,59037472.0,1010.0,14.0,4265714.0,127718.0,586744.0,35817839.0,21930011.0,,17.10777859865002,0.2371375251298023,9938.501431768624,829.2857142857143,21.714285714285715,530994.4285714285,14.0467687079439,0.3678051410176525,8994.193189224441
ITA,Europe,Italy,2021-07-09,59037472.0,1391.0,13.0,4267105.0,127731.0,599754.0,35928652.0,22421947.0,,23.56130696111107,0.2201991304776735,10158.869946192815,902.4285714285714,20.571428571428573,537158.8571428572,15.285691288213888,0.3484469757009339,9098.608713172154
